decision_id,question,current_behavior,decision,evidence,source_finding_ids,affected_issues,tbx_impact,status,deferred_issue
INFO-001,開始時に既知となるセルは何か,"HとS周囲3x3が既知になる",Hは常時既知とし、開始時にS周囲3x3の地形・B・R・S・Hを開示する,"Phase 1Bでobservation_range_score=5.0、route_decision_score=4.6",P1B-007,#1052;#1054,known_cells初期化と初期描画をPythonと一致させる,DECIDED,-
INFO-002,移動後に何を公開するか,"成功移動後に新しい現在地周囲3x3を累積開示",成功移動後のみ新しい現在地周囲3x3を累積開示し、失敗・拒否ではセルを開示しない,"情報量4.3/5、resource_reveal_score=4.8",P1B-007,#1052;#1054,known_cells更新条件を固定する,DECIDED,-
INFO-003,actual mapを通常UIへ表示するか,Python内部だけがactual mapを保持する,通常UIと入力判定補助へactual map全体を漏らさない。表示はknown stateだけから生成する,"自動方策はknown stateのみで評価済み",P1B-007;P1B-012,#1052;#1054;#1056,描画APIとテスト用注入APIを分離する,DECIDED,-
MOVE-001,有効な移動入力は何か,N/E/S/W,N/E/S/Wのみを移動入力として受理し、大文字小文字と前後空白を正規化する,"Python参照実装のCOMMAND_DELTAS",P1B-011,#1052;#1055,入力正規化と方向対応を固定する,DECIDED,-
MOVE-002,盤面外・無効入力はturnを消費するか,状態を変えず拒否カウンタのみ増加,盤面外入力と無効入力は位置・燃料・turnを変えず拒否し、invalid_or_rejected_action_countのみ増加する,"Python schema v3の既存挙動",P1B-011,#1052;#1055,TurnEvent outcomeを一致させる,DECIDED,-
MOVE-003,未知断層への試行をどう扱うか,"移動失敗、fuel -1、turn +1、known_routesへRIFT追加",未知断層への移動は失敗し、燃料1とturn1を消費し、その無向辺を既知断層として永続記録する,"rift_attempt_rate約0.72、数値より表示が問題",P1B-006;P1B-008;P1B-010,#1052;#1053;#1054,移動結果と既知経路更新を一致させる,DECIDED,-
MOVE-004,既知断層へ再試行した場合どうするか,実行前に拒否しコストなし,既知断層への入力は位置・燃料・turnを変えず拒否し、拒否カウンタのみ増加する,"学習済み境界を再試行で課金しない現行契約",P1B-006;P1B-008,#1052;#1054;#1055,known_routesを入力前に参照する,DECIDED,-
MOVE-005,燃料不足行動をどう扱うか,実行前に拒否しコストなし,移動先地形コストまたは未知断層試行コストを支払えない場合、位置・燃料・turnを変えず拒否する,"#1068で非進行検出を追加済み",P1B-001;P1B-011,#1052;#1053;#1055,required_fuelをTurnEventへ記録する,DECIDED,-
FUEL-001,初期・最大燃料はいくつか,16/16,initial_fuel=16かつmax_fuel=16としてPhase 1仕様を確定する,"手動9/10勝、fuel_tension_score=4.2/5",P1B-001,#1053,定数とfixtureを16で固定する,DECIDED,-
SUPPLY-001,B補給をどう扱うか,到着時に即時満タン・無制限,B到着時に自動でmax_fuelまで即時補給し、追加turnなし、利用回数制限なしとする,"multiple_base_refuel_rate最大0.054で固定解ではない",P1B-005;P1B-009,#1053,補給順序とカウンタを一致させる,DECIDED,-
SUPPLY-002,R数と補給量はいくつか,R=3、各座標1回、最大+5,Rを3個配置し、各座標につき1回だけ最大+5を自動補給する。Phase 1中は数値を再調整しない,"resource_refuel_rate 0.427/0.653、P1B-004で有用性あり",P1B-003;P1B-004;P1B-009,#1050;#1053;#1054,生成数と補給量を固定する,DECIDED,-
SUPPLY-003,満タン時のR/Bをどう扱うか,"Bは訪問のみ、Rは未消費",満タン到着では燃料を増やさず、Bはvisitのみ、未使用Rは消費しない。last_supply_sourceは変更しない,"schema v3のfixtureで検証済み",P1B-004;P1B-009,#1053,使用済み集合とイベント結果を一致させる,DECIDED,-
SUPPLY-004,補給の適用順は何か,移動コスト後に到着セル補給,移動コストを支払って到着・観測更新した後に補給し、その後勝敗を確定する,"Python apply_commandの順序",P1B-002;P1B-009,#1053;#1056,turn fixtureのbefore/afterを一致させる,DECIDED,-
WIN-001,勝利条件は何か,H到着,Hへ成功移動して到着した時点で勝利する。移動コスト支払い後の残燃料が0でも勝利を優先する,"必須fixtureの残量0 H到着",P1B-011,#1053;#1056,determine_game_status順序を固定する,DECIDED,-
WIN-002,燃料切れ敗北条件は何か,燃料0かつH以外,移動または未知断層失敗後に燃料0となりHへ到着していない場合はLOST_FUELとする,"手動seed 6と自動評価outcome",P1B-001;P1B-011,#1053;#1056,通常敗北とabortを分離する,DECIDED,-
