finding_id,question_id,title,evidence,severity,proposed_change,affected_issues,recommended_disposition
P1B-001,Q1,Fuel 16 creates tension but is not proven too strict,"Manual: 9/10 wins, fuel_tension_score mean 4.2/5; seed 6 alone lost fuel. Automated: win_rate 0.121 GOAL_GREEDY and 0.154 SUPPLY_AWARE, but the intentionally myopic policies also end in NO_POLICY_ACTION 0.201/0.173, so their low wins do not isolate fuel capacity.",NO_CHANGE,"Retain initial_fuel=max_fuel=16 for the Phase 1 specification; record automated loss rates as a baseline and revisit only with a stronger policy or targeted playtest.",#1058;#1059,"Carry 16 into #1059 without numeric adjustment."
P1B-002,Q2,Supply materially changes route outcomes,"Manual: supply_choice_score mean 4.1/5; seeds 6-9 explicitly used or valued R/B for route changes. Automated: SUPPLY_AWARE raises resource_refuel_rate from 0.427 to 0.653 and win_rate from 0.121 to 0.154.",NO_CHANGE,"Keep B/R as route-planning elements and retain supply-aware state in the TBX handoff.",#1058;#1059,"Retain current supply roles."
P1B-003,Q3,Three resources are sufficient for Phase 1,"Manual: R was refueled in 6/10 sessions, with 12 visits and 10 refuels; players did not report map-wide scarcity. Automated: resource_refuel_rate is 0.427/0.653 and multiple-resource-refuel_rate is 0.087/0.264.",NO_CHANGE,"Retain R count=3 for Phase 1; do not increase map density before evaluating visibility fixes.",#1058;#1059,"Keep R=3."
P1B-004,Q4,R plus five is useful but its value is sometimes unclear,"Manual: seeds 6-9 reported R as useful, while seed 2 said +5 was less than expected and seed 3 overlooked R; resource_reveal_score mean 4.8/5. Automated: SUPPLY_AWARE uses R in 65.3% of runs and improves wins by 3.3 percentage points over GOAL_GREEDY.",ADJUSTMENT,"Retain maximum +5 for now, but make the amount and consumed state explicit in the display; #1059 should record +5 as provisional rather than increase it from this evidence alone.",#1058;#1059,"Display adjustment now; numeric tuning only after targeted comparison."
P1B-005,Q5,Reusable B is not a dominant fixed solution,"Manual: base_return_value_score mean 4.4/5 and base_loop_risk_score 5.0/5; only seed 6 made three B refuels. Automated: base_refuel_rate is 0.009 GOAL_GREEDY and 0.116 SUPPLY_AWARE; multiple-base-refuel-rate is 0.001/0.054.",NO_CHANGE,"Retain unlimited immediate B refuel; no usage cap or diminishing return is justified.",#1058;#1059,"Keep current B reuse rule."
P1B-006,Q6,Rift failure fuel minus one is acceptable mechanically,"Manual: rift_fairness_score mean 2.3/5, but notes consistently criticize visibility rather than the -1 amount; seed 2 accepted the route consequence but could not see the known rift. Automated: rift_attempt_rate is 0.720/0.722 and attempts remain mostly 1-2 per affected run.",NO_CHANGE,"Retain fuel -1 for an unknown-rift attempt; address presentation separately so the same known boundary is not retried accidentally.",#1058;#1059,"Keep the penalty and separate it from the display finding."
P1B-007,Q7,Local 3x3 observation supports route decisions,"Manual: route_decision_score mean 4.6/5, information_score 4.3/5, observation_range_score 5.0/5, resource_reveal_score 4.8/5. Automated: turn-limit rate is 0.001 GOAL_GREEDY and 0.050 SUPPLY_AWARE, with median turns 12/14.",NO_CHANGE,"Retain start and post-move 3x3 cumulative disclosure.",#1058;#1059,"Keep the observation contract."
P1B-008,Q7,The asymmetry of hidden rifts needs clearer explanation,"Manual: rift_asymmetry_score mean 1.4/5 and rift_fairness_score 2.3/5; seeds 2,4,6,7,9,10 mention rifts as unclear. Automated: 72% of runs attempt at least one rift, making the asymmetry frequent rather than exceptional.",ADJUSTMENT,"Document that terrain/B/R are revealed by scan while rifts become known only on failed traversal, and show discovered boundaries persistently.",#1058;#1059,"Specify and implement clearer rift disclosure semantics in the presentation layer."
P1B-009,Q8,B unlimited and R one-use-per-coordinate are understandable,"Manual: supply_choice_score mean 4.1/5 and no note rejects the rule itself; seed 6's problem was identifying consumed R. Automated: B multiple-refuel remains 0.054 at most, while multiple distinct R refuels reach 0.264 under SUPPLY_AWARE.",NO_CHANGE,"Retain unlimited B and coordinate-local one-use R consumption.",#1058;#1059,"Keep the supply lifecycle rules."
P1B-010,Q9,Consumed R and discovered rifts are not readable enough,"Manual: readability_score mean 2.6/5; seed 6 lost fuel after mistaking consumed R for available R, and seeds 2/4/7/9/10 call out rift display. Automated: resource visits occur in 42.7%/65.3% and rift attempts in about 72%, so both states are common.",ADJUSTMENT,"Use distinct persistent symbols for unused/used R and a persistent map indication for discovered blocked boundaries, with a legend and last-event message.",#1058;#1059,"Treat as a required presentation adjustment before TBX UI is finalized."
P1B-011,Q9,Defeat rules are generally understandable once state is visible,"Manual: defeat_clarity_score mean 4.2/5 and 9/10 games ended in wins; low scores occur in seeds 6 and 9 alongside readability issues. Automated: LOST_FUEL is explicitly classified in 67.7%/62.3% of simple-policy runs with no generation errors.",NO_CHANGE,"Retain the defeat condition and outcome names; improve state presentation rather than changing the rule.",#1058;#1059,"Keep defeat semantics."
P1B-012,Q10,Core state and logging are appropriate but full diagnostic detail should not become the player HUD,"Manual: observation and route scores are high while readability is 2.6/5, indicating presentation density rather than missing state. Automated evaluation and validation rely on schema v3 counters, supply state, known routes, and outcomes across 2000 runs.",PHASE_2,"Retain schema v3 and engine state for diagnostics; design a compact TBX HUD/SRS presentation that exposes only actionable state and keeps detailed counters in logs/debug views.",#1058;#1059;Phase-2-follow-up,"Create a Phase 2 UI/presentation follow-up after #1059 fixes the retained state contract."
